# of clients,CPU usage (%),Memory usage (bytes)
1344,0,151220224
1345,0,151220224
1346,0,151228416
1347,0,151326720
1348,6.3,151924736
1349,0,151924736
1350,0,151928832
1351,0,151928832
1352,3.2,151928832
1353,0,151941120
1354,0,151957504
1355,0,151973888
1356,4.7,152543232
1357,0,152543232
1358,0,152543232
1359,0,152551424
1360,0,152551424
1361,0,152551424
1362,0,152576000
1363,0,153116672
1364,0,153116672
1365,1.5,153120768
1366,0,150859776
1367,0,150888448
1368,3.1,151011328
1369,0,151048192
1370,0,151068672
1371,0,151105536
1372,1.6,151134208
1373,0,151396352
1374,0,151429120
1375,0,151777280
1376,1.6,151801856
1377,0,151834624
1378,0,151859200
1379,0,152031232
1380,3.1,152842240
1381,0,152862720
1382,0,152887296
1383,0,152907776
1384,0,152932352
1385,0,152956928
1386,0,152977408
1387,0,153001984
1388,4.6,150421504
1389,0,150659072
1390,0,150904832
1391,0,151142400
1392,1.5,151736320
1393,0,151875584
1394,0,151990272
1395,0,152793088
1396,1.5,152801280
1397,0,153485312
1398,0,153489408
1399,0,153489408
1400,0,153489408
1401,0,153505792
1402,0,154361856
1403,0,154361856
1404,0,154361856
1405,0,154361856
1406,0,154365952
1407,0,154476544
1408,0,154693632
1409,1.6,155230208
1410,0,155230208
1411,0,155230208
1412,0,155254784
1413,0,155316224
1414,0,155316224
1415,0,155381760
1416,0,155959296
1417,1.6,155963392
1418,0,155963392
1419,0,155963392
1420,0,155963392
1421,0,155963392
1422,0,155971584
1423,0,155279360
1424,0,155279360
1425,4.7,155279360
1426,0,155279360
1427,0,153329664
1428,0,153673728
1429,1.6,153939968
1430,0,154226688
1431,0,154488832
1432,0,154836992
1433,1.5,154972160
1434,0,155250688
1435,0,155258880
1436,0,155267072
1437,0,155275264
1438,0,155275264
1439,0,155279360
1440,0,155283456
1441,0,155619328
1442,0,155619328
1443,0,155619328
1444,0,155627520
1445,1.5,155631616
1446,0,155631616
1447,0,155652096
1448,6.2,156389376
1449,0,156389376
1450,0,156389376
1451,0,156401664
1452,3.2,156401664
1453,0,156667904
1454,0,156667904
1455,4.7,154587136
1456,0,154898432
1457,0,155152384
1458,1.6,155418624
1459,0,155672576
1460,0,155942912
1461,3.1,156200960
1462,0,156905472
1463,0,156909568
1464,0,156909568
1465,0,156913664
1466,0,156913664
1467,1.5,156925952
1468,0,156938240
1469,1.6,157605888
1470,0,157609984
1471,0,157618176
1472,0,157642752
1473,0,157773824
1474,4.6,157794304
1475,0,157921280
1476,0,159219712
1477,4.7,159219712
1478,0,159219712
1479,0,159219712
1480,0,159227904
1481,0,159232000
1482,0,159236096
1483,4.7,159854592
1484,0,159858688
1485,0,159862784
1486,0,159862784
1487,0,159862784
1488,0,159866880
1489,0,159862784
1490,0,157478912
1491,3.1,157761536
1492,0,158011392
1493,0,158261248
1494,0,158527488
1495,14,158965760
1496,0,158969856
1497,0,159084544
1498,0,159301632
1499,1.5,159318016
1500,0,159477760
1501,0,159510528
1502,0,157360128
1503,0,157622272
1504,0,157884416
1505,4.7,158281728
1506,0,158539776
1507,0,158801920
1508,0,159072256
1509,6.2,159309824
1510,0,159313920
1511,0,159326208
1512,0,159506432
1513,3.1,159510528
1514,0,159518720
1515,0,159543296
1516,0,159797248
1517,3.1,159797248
1518,0,159801344
1519,0,159801344
1520,0,159821824
1521,3.2,159965184
1522,0,159981568
1523,0,160702464
1524,0,160702464
1525,0,160702464
1526,0,161660928
1527,0,161660928
1528,0,161660928
1529,1.5,161665024
1530,0,162291712
1531,0,162299904
1532,0,162299904
1533,4.7,162304000
1534,0,162312192
1535,0,162316288
1536,0,163196928
1537,1.5,163201024
1538,0,163201024
1539,0,163201024
1540,0,163573760
1541,1.5,163573760
1542,0,163573760
1543,0,160468992
1544,0,160854016
1545,1.5,161116160
